store_id	store_name	city	region
S000318	Retail Doloribus	Yogyakarta	Central
S000319	Retail Ad	Sabang	East
S000320	Retail Laborum	Bau-Bau	South
S000321	Retail Impedit	Cimahi	Central
S000322	Retail Ut	Ternate	East
S000323	Retail Mollitia	Padangpanjang	Central
S000324	Retail Ea	Tomohon	North
S000325	Retail Ut	Bima	West
S000326	Retail Praesentium	Ternate	Central
S000327	Retail Repellat	Dumai	West
S000328	Retail Blanditiis	Pematangsiantar	North
S000329	Retail Commodi	Bitung	West
S000330	Retail At	Tomohon	Central
S000331	Retail Commodi	Kota Administrasi Jakarta Utara	West
S000332	Retail Provident	Palu	North
S000333	Retail Mollitia	Banda Aceh	West
S000334	Retail Deleniti	Lubuklinggau	East
S000335	Retail Optio	Cimahi	North
S000336	Retail Voluptatibus	Surabaya	North
S000337	Retail Quidem	Jayapura	East
S000338	Retail Sunt	Langsa	Central
S000339	Retail Laudantium	Kota Administrasi Jakarta Timur	East
S000340	Retail Iure	Tomohon	North
S000341	Retail Architecto	Ambon	Central
S000342	Retail Laudantium	Tual	West
S000343	Retail Temporibus	Padang	North
S000344	Retail Maiores	Bandar Lampung	South
S000345	Retail Porro	Pontianak	Central
S000346	Retail Dolorem	Pariaman	North
S000347	Retail Omnis	Prabumulih	North
S000348	Retail Aut	Bima	West
S000349	Retail Saepe	Prabumulih	Central
S000350	Retail At	Banjarmasin	Central
S000351	Retail Aut	Lubuklinggau	East
S000352	Retail Debitis	Kota Administrasi Jakarta Barat	North
S000353	Retail Dolores	Metro	Central
S000354	Retail Ullam	Sawahlunto	East
S000355	Retail Repellendus	Kota Administrasi Jakarta Utara	North
S000356	Retail Atque	Singkawang	Central
S000357	Retail Fugit	Kota Administrasi Jakarta Pusat	Central
S000358	Retail Repellendus	Bontang	West
S000359	Retail Quae	Langsa	North
S000360	Retail Ipsum	Salatiga	East
S000361	Retail Ipsam	Pangkalpinang	West
S000362	Retail Dignissimos	Tomohon	South
S000363	Retail Necessitatibus	Subulussalam	West
S000364	Retail Nisi	Tanjungpinang	East
S000365	Retail Quos	Tasikmalaya	South
S000366	Retail Alias	Bogor	West
S000367	Retail Est	Ternate	Central
S000368	Retail Tempora	Palembang	North
S000369	Retail Quas	Kendari	West
S000370	Retail Doloribus	Pasuruan	Central
S000371	Retail Iste	Manado	East
S000372	Retail Accusantium	Ambon	West
S000373	Retail Recusandae	Serang	Central
S000374	Retail Perspiciatis	Metro	North
S000375	Retail Totam	Denpasar	East
S000376	Retail Vel	Cilegon	East
S000377	Retail Voluptates	Metro	Central
S000378	Retail Quam	Kota Administrasi Jakarta Utara	West
S000379	Retail Laborum	Cilegon	North
S000380	Retail Velit	Ambon	East
S000381	Retail Molestias	Bengkulu	West
S000382	Retail Aliquam	Bima	East
S000383	Retail Accusamus	Tangerang Selatan	South
S000384	Retail Impedit	Purwokerto	Central
S000385	Retail Eum	Kotamobagu	West
S000386	Retail Labore	Kupang	West
S000387	Retail Sed	Tebingtinggi	West
S000388	Retail Quia	Tebingtinggi	Central
S000389	Retail Voluptate	Pariaman	East
S000390	Retail In	Depok	East
S000391	Retail Tempora	Padang	South
S000392	Retail Provident	Batam	Central
S000393	Retail Laboriosam	Binjai	Central
S000394	Retail Quidem	Tarakan	West
S000395	Retail Molestias	Banjar	South
S000396	Retail Voluptas	Yogyakarta	East
S000397	Retail Perspiciatis	Subulussalam	Central
S000398	Retail Ratione	Sorong	West
S000399	Retail Perferendis	Makassar	North
S000400	Retail Magnam	Ternate	West
S000401	Retail Earum	Banjarbaru	South
S000402	Retail Commodi	Medan	South
S000403	Retail Sed	Pangkalpinang	North
S000404	Retail Animi	Padang	West
S000405	Retail Doloremque	Mojokerto	South
S000406	Retail In	Kota Administrasi Jakarta Selatan	East
S000407	Retail Sed	Probolinggo	North
S000408	Retail Repellendus	Kediri	West
S000409	Retail Sunt	Banjarmasin	Central
S000410	Retail Ipsa	Bontang	West
S000411	Retail Doloremque	Kota Administrasi Jakarta Pusat	North
S000412	Retail Reiciendis	Lhokseumawe	Central
S000413	Retail Iusto	Cimahi	North
S000414	Retail Fugiat	Binjai	West
S000415	Retail Consectetur	Malang	East
S000416	Retail Quod	Meulaboh	West
S000417	Retail Repellat	Gorontalo	South
S000418	Retail Magni	Sungai Penuh	South
S000419	Retail Adipisci	Sukabumi	West
S000420	Retail Accusantium	Bandar Lampung	South
S000421	Retail Placeat	Dumai	South
S000422	Retail Ab	Sabang	North
S000423	Retail Quod	Depok	South
S000424	Retail Error	Tanjungbalai	North
S000425	Retail Saepe	Malang	Central
S000426	Retail Suscipit	Padangpanjang	Central
S000427	Retail Consectetur	Langsa	Central
S000428	Retail Quae	Sawahlunto	West
S000429	Retail Itaque	Tidore Kepulauan	Central
S000430	Retail Odit	Prabumulih	South
S000431	Retail At	Surakarta	Central
S000432	Retail Architecto	Kotamobagu	West
S000433	Retail Impedit	Kediri	East
S000434	Retail Earum	Bandung	South
S000435	Retail Iure	Manado	South
S000436	Retail Soluta	Depok	East
S000437	Retail Incidunt	Kota Administrasi Jakarta Selatan	North
S000438	Retail Reprehenderit	Bandar Lampung	South
S000439	Retail Similique	Prabumulih	South
S000440	Retail Fuga	Meulaboh	South
S000441	Retail Sint	Surakarta	South
S000442	Retail Ducimus	Tegal	East
S000443	Retail Repellendus	Pangkalpinang	East
S000444	Retail Adipisci	Kediri	North
S000445	Retail Itaque	Blitar	South
S000446	Retail Ab	Blitar	Central
S000447	Retail Reiciendis	Gorontalo	North
S000448	Retail Omnis	Bima	Central
S000449	Retail Deserunt	Jayapura	North
S000450	Retail Similique	Bandar Lampung	Central
S000451	Retail Dolorem	Bontang	North
S000452	Retail Nostrum	Bima	West
S000453	Retail Assumenda	Banjarmasin	North
S000454	Retail Laudantium	Banjarmasin	West
S000455	Retail Quis	Tidore Kepulauan	West
S000456	Retail Nulla	Blitar	North
S000457	Retail Rerum	Jayapura	Central
S000458	Retail Voluptatem	Bontang	Central
S000459	Retail Neque	Sorong	West
S000460	Retail Porro	Balikpapan	West
S000461	Retail Voluptate	Pekalongan	South
S000462	Retail Qui	Kotamobagu	North
S000463	Retail Quas	Gorontalo	West
S000464	Retail Debitis	Makassar	East
S000465	Retail Adipisci	Purwokerto	South
S000466	Retail Dolorem	Bukittinggi	West
S000467	Retail Hic	Pariaman	South
S000468	Retail Consequatur	Tasikmalaya	South
S000469	Retail Accusantium	Sorong	East
S000470	Retail Suscipit	Padangpanjang	South
S000471	Retail Dolor	Probolinggo	West
S000472	Retail Delectus	Subulussalam	South
S000473	Retail Quae	Batam	Central
S000474	Retail Pariatur	Ambon	South
S000475	Retail Ut	Pontianak	North
S000476	Retail Corporis	Bekasi	Central
S000477	Retail Omnis	Bitung	Central
S000478	Retail Quaerat	Surabaya	East
S000479	Retail Assumenda	Salatiga	Central
S000480	Retail Saepe	Sibolga	North
S000481	Retail Illo	Langsa	North
S000482	Retail Repellat	Dumai	West
S000483	Retail Fugiat	Ternate	Central
S000484	Retail Quibusdam	Kota Administrasi Jakarta Pusat	West
S000485	Retail Maiores	Bandung	West
S000486	Retail Dolore	Solok	North
S000487	Retail Repellat	Singkawang	Central
S000488	Retail Omnis	Bengkulu	East
S000489	Retail Repudiandae	Balikpapan	North
S000490	Retail Magni	Sukabumi	North
S000491	Retail Maiores	Kota Administrasi Jakarta Selatan	West
S000492	Retail Distinctio	Depok	Central
S000493	Retail Quo	Dumai	East
S000494	Retail Nisi	Ambon	Central
S000495	Retail Sequi	Banda Aceh	South
S000496	Retail Minus	Tangerang	South
S000497	Retail Perferendis	Purwokerto	East
S000498	Retail Commodi	Banjarbaru	East
S000499	Retail Rem	Medan	Central
S000500	Retail Eveniet	Balikpapan	East
S000501	Retail In	Pontianak	West
S000502	Retail Voluptatum	Tarakan	North
S000503	Retail Exercitationem	Jayapura	South
S000504	Retail Nam	Probolinggo	North
S000505	Retail Ad	Banjar	East
S000506	Retail Sint	Lhokseumawe	West
S000507	Retail Voluptatem	Banjarbaru	South
S000508	Retail Laborum	Binjai	East
S000509	Retail Animi	Pagaralam	Central
S000510	Retail Vitae	Kota Administrasi Jakarta Utara	South
S000511	Retail In	Ternate	Central
S000512	Retail Numquam	Palembang	Central
S000513	Retail Aperiam	Kediri	South
S000514	Retail Nemo	Pagaralam	North
S000515	Retail Necessitatibus	Padang	North
S000516	Retail Excepturi	Malang	South
S000517	Retail Ducimus	Tebingtinggi	Central
S000518	Retail Excepturi	Padang Sidempuan	South
S000519	Retail Atque	Semarang	North
S000520	Retail Laboriosam	Serang	West
S000521	Retail Similique	Kota Administrasi Jakarta Pusat	North
S000522	Retail Ad	Subulussalam	West
S000523	Retail Illum	Banjarmasin	West
S000524	Retail Quia	Samarinda	West
S000525	Retail Cupiditate	Tebingtinggi	South
S000526	Retail Numquam	Manado	East
S000527	Retail Veritatis	Kupang	North
S000528	Retail Officia	Pagaralam	South
S000529	Retail Perspiciatis	Sorong	West
S000530	Retail Alias	Kendari	Central
S000531	Retail Minus	Banjar	East
S000532	Retail Dolore	Tegal	North
S000533	Retail Quod	Solok	North
S000534	Retail Facere	Kupang	West
S000535	Retail Voluptas	Bandung	South
S000536	Retail Aperiam	Depok	North
S000537	Retail Fuga	Pekanbaru	South
S000538	Retail Ex	Pariaman	East
S000539	Retail Dolor	Medan	North
S000540	Retail Voluptates	Sukabumi	East
S000541	Retail Asperiores	Padang Sidempuan	North
S000542	Retail Facere	Parepare	West
S000543	Retail Nobis	Bitung	West
S000544	Retail Sed	Pekalongan	North
S000545	Retail Sed	Pekanbaru	North
S000546	Retail Repellat	Tanjungpinang	West
S000547	Retail Laboriosam	Kediri	Central
S000548	Retail In	Tasikmalaya	North
S000549	Retail Corrupti	Cirebon	West
S000550	Retail Atque	Banjarmasin	North
S000551	Retail Deleniti	Kotamobagu	West
S000552	Retail Quam	Kota Administrasi Jakarta Pusat	East
S000553	Retail Asperiores	Sawahlunto	East
S000554	Retail Officiis	Kota Administrasi Jakarta Pusat	South
S000555	Retail Laboriosam	Sawahlunto	North
S000556	Retail Velit	Sungai Penuh	West
S000557	Retail Asperiores	Depok	North
S000558	Retail Culpa	Pangkalpinang	East
S000559	Retail Provident	Probolinggo	East
S000560	Retail Maiores	Salatiga	West
S000561	Retail Adipisci	Jambi	West
S000562	Retail Quis	Semarang	East
S000563	Retail Est	Payakumbuh	South
S000564	Retail Hic	Jambi	South
S000565	Retail Placeat	Lhokseumawe	North
S000566	Retail Dignissimos	Kota Administrasi Jakarta Barat	North
S000567	Retail Ducimus	Batu	North
S000568	Retail Mollitia	Tanjungpinang	North
S000569	Retail Architecto	Kota Administrasi Jakarta Selatan	South
S000570	Retail In	Parepare	West
S000571	Retail Architecto	Pariaman	East
S000572	Retail Qui	Tual	East
S000573	Retail Suscipit	Salatiga	North
S000574	Retail Laboriosam	Cirebon	Central
S000575	Retail Et	Batu	South
S000576	Retail Ratione	Surakarta	North
S000577	Retail Eos	Cimahi	North
S000578	Retail Blanditiis	Banda Aceh	North
S000579	Retail Atque	Tomohon	East
S000580	Retail Nulla	Kota Administrasi Jakarta Timur	Central
S000581	Retail Corrupti	Denpasar	East
S000582	Retail Quibusdam	Palopo	Central
S000583	Retail Debitis	Sungai Penuh	North
S000584	Retail Eius	Madiun	South
S000585	Retail Minus	Dumai	East
S000586	Retail Laboriosam	Manado	West
S000587	Retail Quis	Kota Administrasi Jakarta Timur	West
S000588	Retail Labore	Pagaralam	Central
S000589	Retail Adipisci	Tebingtinggi	Central
S000590	Retail Tempora	Pariaman	North
S000591	Retail Eius	Pontianak	Central
S000592	Retail Veniam	Malang	West
S000593	Retail Rem	Bau-Bau	West
S000594	Retail Vero	Tanjungpinang	North
S000595	Retail Fugiat	Bima	Central
S000596	Retail Debitis	Solok	West
S000597	Retail Dolor	Banjarmasin	South
S000598	Retail Fuga	Sawahlunto	North
S000599	Retail Eum	Kediri	East
S000600	Retail Doloribus	Banjarmasin	South
S000601	Retail Distinctio	Padangpanjang	East
S000602	Retail Iure	Sibolga	North
S000603	Retail Soluta	Palembang	South
S000604	Retail Ut	Gorontalo	West
S000605	Retail Temporibus	Tidore Kepulauan	South
S000606	Retail Libero	Gorontalo	East
S000607	Retail Velit	Pekalongan	North
S000608	Retail Cumque	Palopo	West
S000609	Retail Deserunt	Jayapura	East
S000610	Retail Doloremque	Kota Administrasi Jakarta Utara	West
S000611	Retail Eligendi	Sukabumi	West
S000612	Retail Nobis	Pangkalpinang	South
S000613	Retail Quia	Yogyakarta	Central
S000614	Retail Vero	Sibolga	North
S000615	Retail Delectus	Magelang	South
S000616	Retail Hic	Kendari	West
S000617	Retail Quae	Langsa	North
S000618	Retail Accusamus	Blitar	North
S000619	Retail Omnis	Bekasi	East
S000620	Retail Eaque	Kota Administrasi Jakarta Utara	East
S000621	Retail Officia	Tangerang Selatan	South
S000622	Retail Ea	Sabang	East
S000623	Retail Consectetur	Dumai	East
S000624	Retail Ducimus	Bandar Lampung	South
S000625	Retail Itaque	Sibolga	South
S000626	Retail Explicabo	Padang	North
S000627	Retail Deserunt	Surakarta	North
S000628	Retail Itaque	Kota Administrasi Jakarta Barat	East
S000629	Retail Placeat	Sibolga	West
S000630	Retail Quo	Makassar	West
S000631	Retail Ducimus	Meulaboh	North
S000632	Retail Nisi	Pagaralam	East
S000633	Retail Sequi	Kupang	Central
S000634	Retail Soluta	Metro	South
S000635	Retail Molestias	Bandar Lampung	Central
S000636	Retail Pariatur	Metro	South
S000637	Retail In	Mojokerto	Central
S000638	Retail Ipsam	Bengkulu	South
S000639	Retail Ab	Tanjungpinang	Central
S000640	Retail Placeat	Palopo	East
S000641	Retail Aliquam	Mojokerto	North
S000642	Retail Numquam	Bitung	West
S000643	Retail Voluptate	Madiun	South
S000644	Retail Ratione	Tanjungbalai	East
S000645	Retail Illum	Pariaman	South
S000646	Retail Voluptatibus	Ambon	East
S000647	Retail Molestias	Bandung	East
S000648	Retail Quia	Pekalongan	South
S000649	Retail Enim	Tidore Kepulauan	North
S000650	Retail Soluta	Bogor	North
S000651	Retail Laboriosam	Palangkaraya	North
S000652	Retail Vel	Kota Administrasi Jakarta Barat	South
S000653	Retail Magni	Jambi	West
S000654	Retail Animi	Tarakan	Central
S000655	Retail Inventore	Semarang	North
S000656	Retail Provident	Cirebon	South
S000657	Retail Quod	Serang	North
S000658	Retail Est	Bekasi	West
S000659	Retail Vitae	Sungai Penuh	North
S000660	Retail Quo	Parepare	West
S000661	Retail Aliquid	Pekanbaru	East
S000662	Retail Harum	Kota Administrasi Jakarta Utara	North
